scan_case,clean_label,noise_name,delta_nu_hz,white_noise_var,sigma_frac,n_tod,n_pix,hit_cut,hydra_iter,hydra_converged,equiv_science_n_pix,equiv_science_rmse,equiv_science_bias,equiv_science_std,equiv_science_corr,equiv_science_median_abs_residual,equiv_science_p95_abs_residual,hydra_science_n_pix,hydra_science_rmse,hydra_science_bias,hydra_science_std,hydra_science_corr,hydra_science_median_abs_residual,hydra_science_p95_abs_residual,equiv_plain_n_pix,equiv_plain_rmse,equiv_plain_bias,equiv_plain_std,equiv_plain_corr,equiv_plain_median_abs_residual,equiv_plain_p95_abs_residual,hydra_plain_n_pix,hydra_plain_rmse,hydra_plain_bias,hydra_plain_std,hydra_plain_corr,hydra_plain_median_abs_residual,hydra_plain_p95_abs_residual
A_no_rotation_24h,"No rotation, 24 h",none,,0.0,0.0,720,336,0.011644189583169954,0,True,336,172789.13182872147,31173.548404857254,169953.79948083922,-0.04067558712709617,15933.637592447161,58432.96124743881,336,172789.13182872147,31173.548404857254,169953.79948083922,-0.04067558712709617,15933.637592447161,58432.96124743881,336,172797.48392612304,31171.53079137062,169962.66095622705,-0.04236578572593123,15853.849140039276,58455.097586794145,336,172797.48392612304,31171.53079137062,169962.66095622705,-0.04236578572593123,15853.849140039276,58455.097586794145
A_no_rotation_24h,"No rotation, 24 h",raw_10MHz_over_8192,1220.703125,6.826666666666667e-06,0.0026127890589687235,720,336,0.011644189583169954,50,False,336,756644.5004335147,22032.695890855786,756323.6478836716,0.019316227018627653,204939.2763928269,728477.003708961,336,757008.6572093228,22033.07443306863,756687.9480478653,0.019221737661445856,204868.7455389364,728619.4140868832,336,756649.1796223915,22030.678277369138,756328.3878302316,0.013209983803510825,204974.81464341545,728558.513017881,336,757013.349213528,22031.056819581998,756692.7007860558,0.013116132812021111,204904.28378952495,728700.9233958033
A_no_rotation_24h,"No rotation, 24 h",bandavg_100kHz,100000.0,8.333333333333334e-08,0.0002886751345948129,720,336,0.011644189583169954,50,False,336,212060.93488396128,30206.002292506066,209898.63632087936,-0.024131724558139972,28537.626308620685,94319.70907666752,336,212062.22100025925,30206.314068751675,209899.890819273,-0.02413410233944902,28551.549355063427,94316.45588205321,336,212069.40285988306,30203.98467901942,209907.4818553568,-0.02795577842435854,28410.238014462524,94429.0479046132,336,212070.6895098328,30204.296455265045,209908.73689491433,-0.027958324959439253,28404.254866315918,94425.79470999888
C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",none,,0.0,0.0,720,528,0.003049197948908342,0,True,528,130710.02046619687,35965.970941630185,125664.46746992333,0.2766098200015304,82355.81296914458,266698.518219906,528,130710.02046619687,35965.970941630185,125664.46746992333,0.2766098200015304,82355.81296914458,266698.518219906,528,130710.06679370148,35970.36917044833,125663.25677363119,0.25895092131963204,82425.76568588355,266818.0656967497,528,130710.06679370148,35970.36917044833,125663.25677363119,0.25895092131963204,82425.76568588355,266818.0656967497
C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",raw_10MHz_over_8192,1220.703125,6.826666666666667e-06,0.0026127890589687235,720,528,0.003049197948908342,4,True,528,216241.98667502805,39799.470150489244,212547.87455277768,0.1745990736630475,142224.4898047832,408649.28350048966,528,216288.23395682767,39803.82584336088,212594.10997578182,0.17457923381252027,142738.9925179113,408421.25165536994,528,216238.34043481154,39803.86837930737,212543.34131194095,0.1657438165247195,142186.0602046796,408119.0554252231,528,216284.6341485343,39808.22407217902,212589.6240764928,0.16569606085553173,142690.08004231402,407891.02358010336
C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",bandavg_100kHz,100000.0,8.333333333333334e-08,0.0002886751345948129,720,528,0.003049197948908342,3,True,528,136834.65684597424,35912.96268323916,132037.8068034599,0.2652585022137617,83866.3047662721,277726.2239659732,528,136817.63659569365,35919.48258563652,132018.39437900856,0.2653092222478868,83887.5080102048,277789.4353241438,528,136835.14932643037,35917.36091205731,132037.12082705952,0.2480260953281227,83905.98429335837,277770.1849761822,528,136818.14548729506,35923.88081445466,132017.72502891987,0.2480631690886981,83927.18753729106,277833.39633435284
E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",none,,0.0,0.0,8640,536,0.03665111320944138,0,True,536,105568.53327942318,29656.3492348878,101317.40308963238,0.3281200149065051,47208.411021705164,145465.87879833585,536,105568.53327942318,29656.3492348878,101317.40308963238,0.3281200149065051,47208.411021705164,145465.87879833585,536,105522.59558286979,29652.97846409059,101270.52407662394,0.3235066361821076,47313.43558246629,145280.06265044864,536,105522.59558286979,29652.97846409059,101270.52407662394,0.3235066361821076,47313.43558246629,145280.06265044864
E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",raw_10MHz_over_8192,1220.703125,6.826666666666667e-06,0.0026127890589687235,8640,536,0.03665111320944138,3,True,536,122179.64713696371,29535.273489692,118556.03651607987,0.28160419635640654,51045.82895893356,164328.36586847313,536,122178.1848817307,29532.457284704567,118555.23112761186,0.2815638966307493,51016.3029591196,164356.84439932913,536,122133.98755736557,29531.902718894795,118509.82085238532,0.2810460703519609,51446.26817749295,164369.0268717556,536,122132.5567088832,29529.086513907365,118509.04800015375,0.28099145828030897,51416.742177678985,164397.50540261163
E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",bandavg_100kHz,100000.0,8.333333333333334e-08,0.0002886751345948129,8640,536,0.03665111320944138,3,True,536,113254.01773339379,29600.39921053795,109317.37693218153,0.3024495063528504,48525.47642628217,144313.42661894872,536,113247.90841545354,29599.640280954656,109311.25310649877,0.3024383524398475,48582.123220529495,144143.53429490275,536,113211.74675811836,29597.028439740734,109274.49616246924,0.29803879035900516,48518.014491754555,144040.93044906488,536,113205.65450617194,29596.269510157443,109268.38995451928,0.2980189012023305,48564.56117125708,143871.03812501888
G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",none,,0.0,0.0,8640,528,0.03659037538690004,0,True,528,130710.02034063177,35965.9710282437,125664.46731452734,0.2766098203879942,82355.81396300235,266698.516163433,528,130710.02034063177,35965.9710282437,125664.46731452734,0.2766098203879942,82355.81396300235,266698.516163433,528,130710.06666820361,35970.369257061844,125663.25661830053,0.25895092164002936,82425.76667974133,266818.0636402767,528,130710.06666820361,35970.369257061844,125663.25661830053,0.25895092164002936,82425.76667974133,266818.0636402767
