scan_case,clean_label,noise_case,method,n_common_pix,n_pix,rmse,bias,std,corr,median_abs_residual,p95_abs_residual
A_no_rotation_24h,"No rotation, 24 h",none,equivalent_diagonal_GLS,325,325,2774.0666579255844,-2564.7355744705555,1057.155265634907,0.22061459905792632,2283.465575626528,4590.1575710260095
A_no_rotation_24h,"No rotation, 24 h",none,hydra_lite_IRLS,325,325,2774.0666579255844,-2564.7355744705555,1057.155265634907,0.22061459905792632,2283.465575626528,4590.1575710260095
A_no_rotation_24h,"No rotation, 24 h",raw_10MHz_over_8192,equivalent_diagonal_GLS,325,325,1570.3032754612718,-692.057547819284,1409.5774996185057,0.31340379675658286,849.5828044216587,3037.6415779034296
A_no_rotation_24h,"No rotation, 24 h",raw_10MHz_over_8192,hydra_lite_IRLS,325,325,1570.2902126427966,-692.0346698968292,1409.5741795246345,0.3134358710580753,849.2710636023367,3037.5344649021595
A_no_rotation_24h,"No rotation, 24 h",bandavg_10kHz,equivalent_diagonal_GLS,325,325,1565.250254042942,-687.308899117527,1406.2769410664985,0.3192072674869367,853.10990841485,3023.4619997644454
A_no_rotation_24h,"No rotation, 24 h",bandavg_10kHz,hydra_lite_IRLS,325,325,1565.2473064731726,-687.3064356892486,1406.274864271442,0.3192105270568795,853.0997703774158,3023.4302835607014
A_no_rotation_24h,"No rotation, 24 h",bandavg_100kHz,equivalent_diagonal_GLS,325,325,1530.912456093546,-671.353615816191,1375.8551052901244,0.33654262081251207,839.8008159204213,2935.9647748503726
A_no_rotation_24h,"No rotation, 24 h",bandavg_100kHz,hydra_lite_IRLS,325,325,1530.9115561017272,-671.352252086278,1375.8547693068824,0.33654268319603714,839.7776058279314,2935.929909634821
A_no_rotation_24h,"No rotation, 24 h",bandavg_1MHz,equivalent_diagonal_GLS,325,325,1325.6093217503178,-569.5618094023656,1197.0127063576397,0.44142648769755616,728.6236794888545,2691.3938269903656
A_no_rotation_24h,"No rotation, 24 h",bandavg_1MHz,hydra_lite_IRLS,325,325,1325.6105840938844,-569.559852751464,1197.0150353255635,0.44142228273291967,728.7005462942335,2691.3591809960762
B_slow_rotation_24h_one_turn_per_day,"Slow rotation, 24 h",none,equivalent_diagonal_GLS,325,325,2773.994811973991,-2564.6721192805603,1057.1206825351478,0.20849222013017082,2283.773117329947,4590.318030339049
B_slow_rotation_24h_one_turn_per_day,"Slow rotation, 24 h",none,hydra_lite_IRLS,325,325,2773.994811973991,-2564.6721192805603,1057.1206825351478,0.20849222013017082,2283.773117329947,4590.318030339049
B_slow_rotation_24h_one_turn_per_day,"Slow rotation, 24 h",raw_10MHz_over_8192,equivalent_diagonal_GLS,325,325,1647.71667704445,-781.6017135781414,1450.5409367343336,0.3367278165198504,914.7090047753375,3249.8591529136515
B_slow_rotation_24h_one_turn_per_day,"Slow rotation, 24 h",raw_10MHz_over_8192,hydra_lite_IRLS,325,325,1647.6863740422048,-781.451855774177,1450.5872549803555,0.3368656935742173,916.628520726905,3250.8758539649893
B_slow_rotation_24h_one_turn_per_day,"Slow rotation, 24 h",bandavg_10kHz,equivalent_diagonal_GLS,325,325,1635.0113647237667,-770.0254639398031,1442.3324677965772,0.3693330073612508,974.9655078994568,3250.7392518779725
B_slow_rotation_24h_one_turn_per_day,"Slow rotation, 24 h",bandavg_10kHz,hydra_lite_IRLS,325,325,1635.033166105078,-770.0093033910688,1442.3658089939588,0.3693254800220987,974.9101173668525,3251.0074209301592
B_slow_rotation_24h_one_turn_per_day,"Slow rotation, 24 h",bandavg_100kHz,equivalent_diagonal_GLS,325,325,1595.372811535511,-744.4088515220537,1411.052752225209,0.4060195543692559,972.7262666540436,3281.0293877222907
B_slow_rotation_24h_one_turn_per_day,"Slow rotation, 24 h",bandavg_100kHz,hydra_lite_IRLS,325,325,1595.3808696195697,-744.4093889103798,1411.0615793969334,0.40601178364591595,972.4702024228694,3280.946199456428
