scan_case,clean_label,noise_case,delta_nu_Hz,white_noise_var,sigma_frac,n_tod,n_pix_solved,hit_cut,method,n_pix,rmse,bias,std,corr,median_abs_residual,p95_abs_residual,n_iter,converged
A_no_rotation_24h,"No rotation, 24 h",none,,0.0,0.0,720,336,4.548511555925765e-05,equivalent_diagonal_GLS,336,2765.8956593429866,-2557.4755833470717,1053.3268433662604,0.2207139146992704,2282.1906772313814,4558.338120904144,,
A_no_rotation_24h,"No rotation, 24 h",none,,0.0,0.0,720,336,4.548511555925765e-05,hydra_lite_IRLS,336,2765.8956593429866,-2557.4755833470717,1053.3268433662604,0.2207139146992704,2282.1906772313814,4558.338120904144,0.0,True
A_no_rotation_24h,"No rotation, 24 h",raw_10MHz_over_8192,1220.703125,6.826666666666667e-06,0.0026127890589687235,720,336,4.548511555925765e-05,equivalent_diagonal_GLS,336,1594.3248918727231,-734.5110347101139,1415.0496106971118,0.31048254323603164,878.6285828306588,3074.4261807801204,,
A_no_rotation_24h,"No rotation, 24 h",raw_10MHz_over_8192,1220.703125,6.826666666666667e-06,0.0026127890589687235,720,336,4.548511555925765e-05,hydra_lite_IRLS,336,1594.3125282902724,-734.48923750653,1415.0469949264573,0.31051397081189275,878.6771249151576,3074.555136346684,3.0,True
A_no_rotation_24h,"No rotation, 24 h",bandavg_10kHz,10000.0,8.333333333333333e-07,0.0009128709291752768,720,336,4.548511555925765e-05,equivalent_diagonal_GLS,336,1589.3819896910397,-729.9099918700811,1411.8663226107726,0.31622335548154873,890.3017398649224,3065.494113630595,,
A_no_rotation_24h,"No rotation, 24 h",bandavg_10kHz,10000.0,8.333333333333333e-07,0.0009128709291752768,720,336,4.548511555925765e-05,hydra_lite_IRLS,336,1589.3791767125867,-729.9076658326113,1411.8643584729975,0.3162265809271794,890.3096119739268,3065.494956359896,3.0,True
A_no_rotation_24h,"No rotation, 24 h",bandavg_100kHz,100000.0,8.333333333333334e-08,0.0002886751345948129,720,336,4.548511555925765e-05,equivalent_diagonal_GLS,336,1555.0750913726026,-713.7249020709023,1381.613297551594,0.33367683624419076,863.3236234378855,3038.7491494073975,,
A_no_rotation_24h,"No rotation, 24 h",bandavg_100kHz,100000.0,8.333333333333334e-08,0.0002886751345948129,720,336,4.548511555925765e-05,hydra_lite_IRLS,336,1555.074601417668,-713.7240450113451,1381.613188829262,0.3336770877460757,863.3380576985854,3038.7402397720243,3.0,True
A_no_rotation_24h,"No rotation, 24 h",bandavg_1MHz,1000000.0,8.333333333333334e-09,9.128709291752768e-05,720,336,4.548511555925765e-05,equivalent_diagonal_GLS,336,1346.1896080578415,-607.3688123731604,1201.3865267262413,0.4396208746256092,770.7845358845851,2706.1853661553105,,
A_no_rotation_24h,"No rotation, 24 h",bandavg_1MHz,1000000.0,8.333333333333334e-09,9.128709291752768e-05,720,336,4.548511555925765e-05,hydra_lite_IRLS,336,1346.1939582124307,-607.3696545487013,1201.390975436824,0.43961670092167554,770.822401295022,2706.046886326463,3.0,True
