select_threshold,scan_case,clean_case,n_common_pix,rmse_common,corr_common,rmse_reduction_percent,p95_residual_reduction_percent,corr_gain
0.1,A_no_rotation_24h,"No rotation, 24 h",240,991.1404627072188,0.5792279124815205,0.0,0.0,0.0
0.1,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",240,377.61620930702236,0.9248616239955915,61.900838123832145,64.59894855755495,0.34563371151407096
0.1,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",240,456.35970082197514,0.8903278391016836,53.956102288926225,55.68605097961538,0.31109992662016306
0.1,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",240,305.92938727496744,0.9497170742552911,69.13359924391075,69.3636944626197,0.37048916177377056
0.05,A_no_rotation_24h,"No rotation, 24 h",240,991.1404627072188,0.5792279124815205,0.0,0.0,0.0
0.05,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",240,374.2885482409364,0.9257142398219474,62.23657873692313,65.02480812446329,0.34648632734042695
0.05,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",240,441.51387395554406,0.8943927836834568,55.4539552598241,57.33631818937834,0.31516487120193626
0.05,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",240,298.5533777527529,0.9505185469545784,69.87779341211852,70.22202662013498,0.3712906344730579
0.03,A_no_rotation_24h,"No rotation, 24 h",240,985.3291909365105,0.5823445098820954,0.0,0.0,0.0
0.03,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",240,373.71326278053704,0.9258172384775128,62.072242838422405,64.70098405641318,0.34347272859541744
0.03,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",240,439.40826203658077,0.8947752605490099,55.404928010004134,56.5763623186461,0.3124307506669145
0.03,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",240,296.6176304073629,0.950866134306479,69.89659566206079,70.87137654083406,0.36852162442438363
0.02,A_no_rotation_24h,"No rotation, 24 h",240,985.3291909365105,0.5823445098820954,0.0,0.0,0.0
0.02,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",240,373.71326278053704,0.9258172384775128,62.072242838422405,64.70098405641318,0.34347272859541744
0.02,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",240,439.40826203658077,0.8947752605490099,55.404928010004134,56.5763623186461,0.3124307506669145
0.02,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",240,296.6176304073629,0.950866134306479,69.89659566206079,70.87137654083406,0.36852162442438363
0.01,A_no_rotation_24h,"No rotation, 24 h",240,982.630351501889,0.5837010653488546,0.0,0.0,0.0
0.01,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",240,372.8091118561432,0.9259813508622854,62.06008584140233,64.60609161024882,0.3422802855134308
0.01,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",240,440.67796423866423,0.8928232184479564,55.15323096166167,55.36297855124302,0.30912215309910185
0.01,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",240,297.9340297933942,0.9499244818128627,69.67994838160448,69.10376111270452,0.36622341646400813
0.005,A_no_rotation_24h,"No rotation, 24 h",240,982.6303515018893,0.5837010653488538,0.0,0.0,0.0
0.005,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",240,372.8091118561438,0.9259813508622851,62.060085841402284,64.60609161024841,0.34228028551343126
0.005,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",240,440.6779642386645,0.8928232184479563,55.15323096166166,55.362978551242975,0.3091221530991025
0.005,G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",240,297.9340297933978,0.9499244818128613,69.6799483816041,69.10376111270442,0.36622341646400747
