label,scan_case,clean_case,select_threshold,boundary_layer,n_pix,rmse,median_abs_residual,p95_abs_residual,median_unc
A_no_rotation_24h__threshold_0.1,A_no_rotation_24h,"No rotation, 24 h",0.1,0,64,2234.6237014896537,1511.624025596031,4019.837459902066,89.37540554719675
A_no_rotation_24h__threshold_0.1,A_no_rotation_24h,"No rotation, 24 h",0.1,1,64,1218.8236608039128,826.3362090504527,2170.269255777071,75.1646013993934
A_no_rotation_24h__threshold_0.1,A_no_rotation_24h,"No rotation, 24 h",0.1,2,64,883.2421271607508,398.92218214359946,1647.8918676677658,69.25928251174196
A_no_rotation_24h__threshold_0.1,A_no_rotation_24h,"No rotation, 24 h",0.1,3,52,922.6192942648609,638.65669699603,1511.4743630080511,71.2092975538707
A_no_rotation_24h__threshold_0.1,A_no_rotation_24h,"No rotation, 24 h",0.1,4,36,1043.8881938426064,495.58582918599575,2216.7398896279756,72.67359550499741
A_no_rotation_24h__threshold_0.1,A_no_rotation_24h,"No rotation, 24 h",0.1,5,20,583.4861739909327,295.018814887928,1249.6149522690237,87.31912515943938
A_no_rotation_24h__threshold_0.1,A_no_rotation_24h,"No rotation, 24 h",0.1,6,4,340.0798911468255,321.55438902259027,445.62783083930753,98.70095037236135
A_no_rotation_24h__threshold_0.05,A_no_rotation_24h,"No rotation, 24 h",0.05,0,64,2234.6237014896537,1511.624025596031,4019.837459902066,89.37540554719675
A_no_rotation_24h__threshold_0.05,A_no_rotation_24h,"No rotation, 24 h",0.05,1,64,1218.8236608039128,826.3362090504527,2170.269255777071,75.1646013993934
A_no_rotation_24h__threshold_0.05,A_no_rotation_24h,"No rotation, 24 h",0.05,2,64,883.2421271607508,398.92218214359946,1647.8918676677658,69.25928251174196
A_no_rotation_24h__threshold_0.05,A_no_rotation_24h,"No rotation, 24 h",0.05,3,52,922.6192942648609,638.65669699603,1511.4743630080511,71.2092975538707
A_no_rotation_24h__threshold_0.05,A_no_rotation_24h,"No rotation, 24 h",0.05,4,36,1043.8881938426064,495.58582918599575,2216.7398896279756,72.67359550499741
