label,scan_case,clean_case,select_threshold,region,n_pix,rmse,corr,median_abs_residual,p95_abs_residual,median_unc,p95_unc,median_weighted_hit
A_no_rotation_24h__threshold_0.1,A_no_rotation_24h,"No rotation, 24 h",0.1,edge,64,2234.6237014896537,0.14323288062857042,1511.624025596031,4019.837459902066,89.37540554719675,92.44067036886956,0.6818511274562652
A_no_rotation_24h__threshold_0.1,A_no_rotation_24h,"No rotation, 24 h",0.1,interior,240,991.1404627072188,0.5792279124815205,530.6773744754844,2033.5195844808038,71.91053458335078,87.35015270573767,6.240757774790045
A_no_rotation_24h__threshold_0.05,A_no_rotation_24h,"No rotation, 24 h",0.05,edge,64,2234.6237014896537,0.14323288062857042,1511.624025596031,4019.837459902066,89.37540554719675,92.44067036886956,0.6818511274562652
A_no_rotation_24h__threshold_0.05,A_no_rotation_24h,"No rotation, 24 h",0.05,interior,240,991.1404627072188,0.5792279124815205,530.6773744754844,2033.5195844808038,71.91053458335078,87.35015270573767,6.240757774790045
A_no_rotation_24h__threshold_0.03,A_no_rotation_24h,"No rotation, 24 h",0.03,edge,64,3053.16146042455,-0.06736617699851663,1855.1817850716773,6498.813051485729,97.10736340540383,98.47733093502563,0.16641166385731226
A_no_rotation_24h__threshold_0.03,A_no_rotation_24h,"No rotation, 24 h",0.03,interior,304,1345.7732115344454,0.38736271079481727,700.7592996056816,2846.089196985468,73.53971386030199,92.02815602453077,4.117340696688131
A_no_rotation_24h__threshold_0.02,A_no_rotation_24h,"No rotation, 24 h",0.02,edge,64,3053.16146042455,-0.06736617699851663,1855.1817850716773,6498.813051485729,97.10736340540383,98.47733093502563,0.16641166385731226
A_no_rotation_24h__threshold_0.02,A_no_rotation_24h,"No rotation, 24 h",0.02,interior,304,1345.7732115344454,0.38736271079481727,700.7592996056816,2846.089196985468,73.53971386030199,92.02815602453077,4.117340696688131
A_no_rotation_24h__threshold_0.01,A_no_rotation_24h,"No rotation, 24 h",0.01,edge,156,3761.2554623273427,-0.01824699516566873,2066.5325884336235,9043.909454374349,99.70585199883364,99.77882827098406,0.005579099797478936
A_no_rotation_24h__threshold_0.01,A_no_rotation_24h,"No rotation, 24 h",0.01,interior,368,1765.435603074276,0.2232515929610358,955.8247287530846,3403.558812945569,76.11124667849623,98.41454371878349,2.6871485231157655
A_no_rotation_24h__threshold_0.005,A_no_rotation_24h,"No rotation, 24 h",0.005,edge,140,2119.4568217614515,0.43893024007775905,2037.9622952047835,2596.4752288948857,100.0,100.0,0.0
A_no_rotation_24h__threshold_0.005,A_no_rotation_24h,"No rotation, 24 h",0.005,interior,592,2535.779092143139,0.03308689149097441,1421.4560214659132,5156.785464143621,92.5644628383542,100.0,0.509357611381152
C_fast_rotation_24h_one_turn_per_hour__threshold_0.1,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.1,edge,64,1318.81476577545,0.4923732238067972,654.680730424091,2888.766435874094,60.62003008865621,69.29689724200824,0.6612577744217255
C_fast_rotation_24h_one_turn_per_hour__threshold_0.1,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.1,interior,240,377.61620930702236,0.9248616239955915,220.64244937241028,719.8873141942444,32.843205515721095,44.00220015450875,6.218843415637256
C_fast_rotation_24h_one_turn_per_hour__threshold_0.05,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.05,edge,64,2255.027463727072,0.35144299480035096,1502.327031399431,4356.613380138247,78.69802129026723,89.45573182645808,0.34984786355428144
C_fast_rotation_24h_one_turn_per_hour__threshold_0.05,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.05,interior,272,444.9688031946141,0.8883958454852401,234.40149222765524,882.4978770147416,33.90789202399452,52.83132390734765,5.289211670432756
C_fast_rotation_24h_one_turn_per_hour__threshold_0.03,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.03,edge,64,2901.353391245776,0.5710484532580695,1972.1825461318758,6108.718015799201,92.930451392813,97.2068820048478,0.19535867825762693
C_fast_rotation_24h_one_turn_per_hour__threshold_0.03,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.03,interior,304,689.9295975950748,0.7573462373651173,267.72849011389485,1331.0425035677251,38.697206913072606,68.48556213688568,4.2258164955345086
C_fast_rotation_24h_one_turn_per_hour__threshold_0.02,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.02,edge,64,2901.353391245776,0.5710484532580695,1972.1825461318758,6108.718015799201,92.930451392813,97.2068820048478,0.19535867825762693
C_fast_rotation_24h_one_turn_per_hour__threshold_0.02,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.02,interior,304,689.9295975950748,0.7573462373651173,267.72849011389485,1331.0425035677251,38.697206913072606,68.48556213688568,4.2258164955345086
C_fast_rotation_24h_one_turn_per_hour__threshold_0.01,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.01,edge,172,3752.2885291916073,0.10904962744004773,2004.6553542906572,8374.22172174554,99.46253661442061,99.94550143526648,0.0029001983035153583
C_fast_rotation_24h_one_turn_per_hour__threshold_0.01,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.01,interior,412,1850.1808480705295,0.2215984237944578,428.6362548282673,3829.291315478079,42.58198843389391,99.22767171232215,2.7128926063862355
C_fast_rotation_24h_one_turn_per_hour__threshold_0.005,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.005,edge,0,,,,,,,
C_fast_rotation_24h_one_turn_per_hour__threshold_0.005,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.005,interior,768,2561.586891024787,0.07172595304021627,1238.750781842692,5648.328639684072,97.43596737005461,100.0,0.04504618502150168
E_same_LST_12days_30deg_step_stacked__threshold_0.1,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.1,edge,64,1128.8246774716815,0.5041453814178225,442.03965769717115,2653.5735877896536,21.737626055796703,26.1592252512065,7.909167662963267
E_same_LST_12days_30deg_step_stacked__threshold_0.1,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.1,interior,240,456.35970082197514,0.8903278391016836,271.4318107786303,901.1328319863605,10.388893494611242,14.10281696389422,74.77374731554397
E_same_LST_12days_30deg_step_stacked__threshold_0.05,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.05,edge,64,1576.5584611884674,0.5953939644363779,911.1084398287605,3294.939610117063,37.916380710783564,50.35825987219943,4.162102807902058
E_same_LST_12days_30deg_step_stacked__threshold_0.05,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.05,interior,272,461.50878039832475,0.8785904669974297,271.434698629135,880.8794546739582,11.18130550403349,17.797733764688484,62.673682706405
